"","Team_Name","Abbr","Alt_Names","Elo"
"1","Colorado Rapids","COL","Colorado",1506
"2","Columbus Crew SC","CLB","Columbus",1605
"3","D.C. United","DCU","D.C. United",1438
"4","FC Dallas","DAL","FC Dallas",1510
"5","Sporting Kansas City","SKC","Sporting KC",1475
"6","Los Angeles Galaxy","LAG","LA Galaxy",1441
"7","New England Revolution","NER","New England",1550
"8","New York Red Bulls","NYR","NY Red Bulls",1501
"9","San Jose Earthquakes","SJE","San Jose",1470
"10","Chicago Fire","CHI","Chicago",1471
"11","Real Salt Lake","RSL","Real Salt Lake",1448
"12","Houston Dynamo","HOU","Houston",1458
"13","Toronto FC","TOR","Toronto FC",1539
"14","Seattle Sounders FC","SEA","Seattle",1605
"15","Philadelphia Union","PHI","Philadelphia",1564
"16","Vancouver Whitecaps","VAN","Vancouver",1443
"17","Portland Timbers","POR","Portland",1570
"18","CF Montreal","MTL","CF Montréal",1432
"19","Orlando City SC","ORL","Orlando City",1514
"20","New York City FC","NYF","NYCFC",1563
"21","Minnesota United","MIN","Minnesota",1529
"22","Atlanta United","ATL","Atlanta",1479
"23","Los Angeles FC","LAF","Los Angeles FC",1544
"24","FC Cincinnati","CIN","FC Cincinnati",1380
"25","Inter Miami CF","MIA","Miami",1459
"26","Nashville SC","NAS","Nashville",1522
"27","Austin FC","AUS","Austin FC",1500
