Team_Name,Abbr,Alt_Names,Elo
Colorado Rapids,COL,Colorado,1506
Columbus Crew SC,CLB,Columbus,1605
D.C. United,DCU,D.C. United,1438
FC Dallas,DAL,FC Dallas,1510
Sporting Kansas City,SKC,Sporting KC,1475
Los Angeles Galaxy,LAG,LA Galaxy,1441
New England Revolution,NER,New England,1550
New York Red Bulls,NYR,NY Red Bulls,1501
San Jose Earthquakes,SJE,San Jose,1486
Tampa Bay Mutiny,TBM,N/A,1498
Chicago Fire,CHI,Chicago,1471
Miami Fusion,MFC,N/A,1502
Chivas USA,CHV,N/A,1480
Real Salt Lake,RSL,Real Salt Lake,1448
Houston Dynamo,HOU,Houston,1442
Toronto FC,TOR,Toronto FC,1539
Seattle Sounders FC,SEA,Seattle,1582
Philadelphia Union,PHI,Philadelphia,1564
Vancouver Whitecaps,VAN,Vancouver,1443
Portland Timbers,POR,Portland,1570
CF Montreal,MTL,CF Montréal,1432
Orlando City SC,ORL,Orlando City,1514
New York City FC,NYF,NYCFC,1563
Minnesota United,MIN,Minnesota,1552
Atlanta United,ATL,Atlanta,1479
Los Angeles FC,LAF,Los Angeles FC,1544
FC Cincinnati,CIN,FC Cincinnati,1380
Inter Miami CF,MIA,Miami,1459
Nashville SC,NAS,Nashville,1522
Austin FC,AUS,Austin FC,1500
