"","Year","Date","A_Elo_Before","B_Elo_Before","A_Elo_After","B_Elo_After","A_Score","B_Score","A_Home","B_Home","Weight"
"1",2020,"02/29/2020",1500,1570,1489,1581,1,2,TRUE,FALSE,20
"2",2020,"03/08/2020",1489,1492,1482,1499,0,1,FALSE,TRUE,20
"3",2020,"08/12/2020",1482,1510,1496,1496,1,0,FALSE,TRUE,20
"4",2020,"08/17/2020",1496,1496,1499,1493,0,0,FALSE,TRUE,20
"5",2020,"08/22/2020",1499,1545,1490,1554,0,2,FALSE,TRUE,20
"6",2020,"08/26/2020",1490,1495,1479,1506,1,3,FALSE,TRUE,20
"7",2020,"08/30/2020",1479,1466,1486,1459,1,0,TRUE,FALSE,20
"8",2020,"09/02/2020",1486,1527,1484,1529,1,1,TRUE,FALSE,20
"9",2020,"09/06/2020",1484,1464,1486,1462,0,0,FALSE,TRUE,20
"10",2020,"09/12/2020",1486,1522,1498,1510,4,2,TRUE,FALSE,20
"11",2020,"09/19/2020",1498,1552,1489,1561,0,2,FALSE,TRUE,20
"12",2020,"09/23/2020",1489,1456,1495,1450,1,0,TRUE,FALSE,20
"13",2020,"09/26/2020",1495,1466,1491,1470,1,1,TRUE,FALSE,20
"14",2020,"10/03/2020",1491,1509,1494,1506,0,0,FALSE,TRUE,20
"15",2020,"10/06/2020",1494,1497,1491,1500,0,0,TRUE,FALSE,20
"16",2020,"10/11/2020",1491,1469,1483,1477,1,2,FALSE,TRUE,20
"17",2020,"10/14/2020",1483,1462,1501,1444,3,1,FALSE,TRUE,20
"18",2020,"10/20/2020",1501,1512,1514,1499,3,0,TRUE,FALSE,20
"19",2020,"10/23/2020",1514,1510,1511,1513,1,1,TRUE,FALSE,20
"20",2020,"10/27/2020",1511,1420,1521,1410,1,0,FALSE,TRUE,20
"21",2020,"10/31/2020",1521,1463,1517,1467,1,1,TRUE,FALSE,20
"22",2020,"11/04/2020",1517,1517,1504,1530,0,1,TRUE,FALSE,20
"23",2020,"11/08/2020",1504,1576,1519,1561,3,2,FALSE,TRUE,20
"24",2020,"11/20/2020",1519,1457,1531,1445,3,0,TRUE,FALSE,25
"25",2020,"11/24/2020",1531,1573,1552,1552,1,0,FALSE,TRUE,30
"26",2020,"11/29/2020",1552,1552,1530,1574,0,2,FALSE,TRUE,40
